Species_name,Latitude,Longitude
Ameerega_trivittata,-6.50874,-76.37325
Ameerega_cainarachi,-6.50874,-76.37325
Ameerega_hahneli,-13.52264,-71.96734
Ameerega_trivittata,-9.75,-73.5
Ameerega_trivittata,-6.50874,-76.37325
Ameerega_trivittata,-3.74912,-73.25383
Ameerega_hahneli,-6.50874,-76.37325
Ameerega_hahneli,-3.74912,-73.25383
Ameerega_trivittata,-3.74912,-73.25383
Ameerega_trivittata,-3.74912,-73.25383
Ameerega_hahneli,-13.52264,-71.96734
Allobates_femoralis,-3.74912,-73.25383
Ameerega_smaragdina,-10.5,-75.25
Ameerega_bassleri,-6.50874,-76.37325
Ameerega_pongoensis,-6.50874,-76.37325
Ameerega_bassleri,-6.50874,-76.37325
Ameerega_trivittata,-10.5,-75.25
Ameerega_trivittata,-9.29616,-75.99831
Ameerega_trivittata,-6.42329,-76.83734
Ameerega_trivittata,-3.74912,-73.25383
Ameerega_trivittata,-6.50874,-76.37325
Allobates_femoralis,-12,-70.25
Ameerega_hahneli,-12,-70.25
Ameerega_bassleri,-6.50874,-76.37325
Ameerega_trivittata,-6.50874,-76.37325
Ameerega_bassleri,-6.50874,-76.37325
Ameerega_hahneli,-3.74912,-73.25383
Allobates_femoralis,-3.74912,-73.25383
Ameerega_trivittata,-3.75,-64.5
Ameerega_trivittata,-3.74912,-73.25383
Ameerega_trivittata,-5,-78.23333
Allobates_femoralis,-13.52264,-71.96734
Ameerega_trivittata,-6.50874,-76.37325
Ameerega_bassleri,-6.50874,-76.37325
Ameerega_bilinguis,-0.56667,-80.41667
Ameerega_pongoensis,-6.50874,-76.37325
Ameerega_hahneli,-6.50874,-76.37325
Ameerega_bassleri,-6.50874,-76.37325
Ameerega_bassleri,-6.50874,-76.37325
Ameerega_silverstonei,-9.29616,-75.99831
Ameerega_bassleri,-6.50874,-76.37325
Ameerega_hahneli,-6.50874,-76.37325
Ameerega_bassleri,-6.50874,-76.37325
Ameerega_bassleri,-6.50874,-76.37325
Ameerega_simulans,-12,-70.25
Ameerega_simulans,-13.52264,-71.96734
Phytotriades_auratus,10.46114,-61.25702
Phytotriades_auratus,10.46114,-61.25702
Phytotriades_auratus,10.46114,-61.25702
Phytotriades_auratus,10.46114,-61.25702
Phytotriades_auratus,10.46114,-61.25702
Phytotriades_auratus,10.46114,-61.25702
Phytotriades_auratus,10.46114,-61.25702
Phytotriades_auratus,10.46114,-61.25702
Pelobates_cultripes,40.49292,-3.87371
Triturus_cristatus,54.75844,-2.69531
Triturus_cristatus,54.75844,-2.69531
Triturus_cristatus,54.75844,-2.69531
Anotheca_spinosa,16.75239,-95.36862
Triprion_petasatus,20.24086,-89.446
Smilisca_fodiens,27.08162,-108.9027
Smilisca_baudinii,16.474,-94.35147
Smilisca_phaeota,-0.27113,-79.46287
Smilisca_sila,9.93491,-84.07043
Plethodon_cinereus,38.5554,-78.39501
Plethodon_cinereus,38.5554,-78.39501
Plethodon_cinereus,38.5554,-78.39501
Plethodon_cinereus,38.5554,-78.39501
Plethodon_cinereus,38.5554,-78.39501
Plethodon_cinereus,38.5554,-78.39501
Plethodon_cinereus,38.5554,-78.39501
Plethodon_cinereus,38.5554,-78.39501
Plethodon_cinereus,47.048,-111.64303
Plethodon_cinereus,47.048,-111.64303
Plethodon_cinereus,47.048,-111.64303
Plethodon_cinereus,47.048,-111.64303
Plethodon_cinereus,47.048,-111.64303
Plethodon_cinereus,47.048,-111.64303
Plethodon_cinereus,47.048,-111.64303
Plethodon_cinereus,47.048,-111.64303
Plethodon_cinereus,47.048,-111.64303
Plethodon_cinereus,38.5979,-78.37167
Plethodon_cinereus,38.5979,-78.37167
Plethodon_cinereus,38.5979,-78.37167
Plethodon_cinereus,38.5979,-78.37167
Plethodon_cinereus,38.5979,-78.37167
Plethodon_cinereus,38.5979,-78.37167
Plethodon_cinereus,38.5979,-78.37167
Plethodon_cinereus,38.5979,-78.37167
Plethodon_cinereus,38.5979,-78.37167
Plethodon_shenandoah,38.5554,-78.39501
Plethodon_shenandoah,38.5554,-78.39501
Plethodon_shenandoah,38.5554,-78.39501
Plethodon_shenandoah,38.5554,-78.39501
Plethodon_shenandoah,38.5554,-78.39501
Plethodon_shenandoah,38.5554,-78.39501
Plethodon_shenandoah,38.5554,-78.39501
Plethodon_shenandoah,38.5554,-78.39501
Plethodon_shenandoah,38.5554,-78.39501
Plethodon_shenandoah,38.5554,-78.39501
Plethodon_shenandoah,47.048,-111.64303
Plethodon_shenandoah,47.048,-111.64303
Plethodon_shenandoah,47.048,-111.64303
Plethodon_shenandoah,47.048,-111.64303
Plethodon_shenandoah,47.048,-111.64303
Plethodon_shenandoah,47.048,-111.64303
Plethodon_shenandoah,47.048,-111.64303
Plethodon_shenandoah,47.048,-111.64303
Plethodon_shenandoah,47.048,-111.64303
Plethodon_shenandoah,38.5979,-78.37167
Plethodon_shenandoah,38.5979,-78.37167
Plethodon_shenandoah,38.5979,-78.37167
Plethodon_shenandoah,38.5979,-78.37167
Plethodon_shenandoah,38.5979,-78.37167
Plethodon_shenandoah,38.5979,-78.37167
Plethodon_shenandoah,38.5979,-78.37167
Plethodon_shenandoah,38.5979,-78.37167
Plethodon_shenandoah,38.5979,-78.37167
Mantella_haraldmeieri,-24.98333,46.91667
Mantella_haraldmeieri,-24.98333,46.91667
Mantella_haraldmeieri,-24.98333,46.91667
Mantella_haraldmeieri,-24.98333,46.91667
Mantella_haraldmeieri,-24.98333,46.91667
Mantella_haraldmeieri,-24.98333,46.91667
Mantella_nigricans,-15.18333,48.08333
Mantella_nigricans,-15.18333,48.08333
Mantella_nigricans,-15.18333,48.08333
Mantella_nigricans,-15.18333,48.08333
Mantella_nigricans,-15.18333,48.08333
Mantella_baroni,-21.38333,47.46667
Mantella_baroni,-21.38333,47.46667
Mantella_baroni,17.5,-92.78333
Mantella_baroni,17.5,-92.78333
Mantella_baroni,17.5,-92.78333
Mantella_baroni,17.5,-92.78333
Mantella_baroni,17.5,-92.78333
Mantella_baroni,17.5,-92.78333
Mantella_baroni,17.5,-92.78333
Mantella_baroni,17.5,-92.78333
Gephyromantis_redimitus,-23.25,47.45
Gephyromantis_redimitus,-18.83473,48.45881
Boehmantis_microtympanum,-24.96667,46.96667
Mantidactylus_charlotteae,-15.43333,49.8
Boophis_idae,-18.93333,48.41667
Gephyromantis_rivicola,-15.43333,49.8
Pelophylax_nigromaculatus,48.49,127.57
Pelophylax_nigromaculatus,48.49,127.57
Pelophylax_nigromaculatus,48.49,127.57
Pelophylax_nigromaculatus,48.49,127.57
Pelophylax_nigromaculatus,48.49,127.57
Pelophylax_nigromaculatus,48.49,127.57
Pelophylax_nigromaculatus,48.49,127.57
Pelophylax_nigromaculatus,48.49,127.57
Pelophylax_nigromaculatus,48.49,127.57
Pelophylax_nigromaculatus,48.49,127.57
Pelophylax_nigromaculatus,48.49,127.57
Pelophylax_nigromaculatus,48.49,127.57
Pelophylax_nigromaculatus,48.49,127.57
Pelophylax_nigromaculatus,48.49,127.57
Pelophylax_nigromaculatus,48.49,127.57
Pelophylax_nigromaculatus,48.49,127.57
Pelophylax_nigromaculatus,48.49,127.57
Pelophylax_nigromaculatus,43.85083,126.56028
Pelophylax_nigromaculatus,43.85083,126.56028
Pelophylax_nigromaculatus,43.85083,126.56028
Pelophylax_nigromaculatus,43.85083,126.56028
Pelophylax_nigromaculatus,43.85083,126.56028
Pelophylax_nigromaculatus,43.85083,126.56028
Pelophylax_nigromaculatus,43.85083,126.56028
Pelophylax_nigromaculatus,43.85083,126.56028
Pelophylax_nigromaculatus,43.85083,126.56028
Pelophylax_nigromaculatus,43.85083,126.56028
Pelophylax_nigromaculatus,43.85083,126.56028
Pelophylax_nigromaculatus,39.9075,116.39723
Pelophylax_nigromaculatus,39.9075,116.39723
Pelophylax_nigromaculatus,39.9075,116.39723
Pelophylax_nigromaculatus,39.9075,116.39723
Pelophylax_nigromaculatus,39.9075,116.39723
Pelophylax_nigromaculatus,39.9075,116.39723
Pelophylax_nigromaculatus,40.28464,120.48412
Pelophylax_nigromaculatus,40.28464,120.48412
Pelophylax_nigromaculatus,40.28464,120.48412
Pelophylax_nigromaculatus,40.28464,120.48412
Pelophylax_nigromaculatus,40.28464,120.48412
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,33,120
Pelophylax_nigromaculatus,31.22222,121.45806
Pelophylax_nigromaculatus,31.22222,121.45806
Pelophylax_nigromaculatus,31.22222,121.45806
Pelophylax_nigromaculatus,31.22222,121.45806
Pelophylax_nigromaculatus,31.22222,121.45806
Pelophylax_nigromaculatus,31.22222,121.45806
Pelophylax_nigromaculatus,31.22222,121.45806
Pelophylax_nigromaculatus,31.22222,121.45806
Pelophylax_nigromaculatus,31.22222,121.45806
Pelophylax_nigromaculatus,31.22222,121.45806
Pelophylax_nigromaculatus,31.22222,121.45806
Pelophylax_nigromaculatus,29,120
Pelophylax_nigromaculatus,29,120
Pelophylax_nigromaculatus,29,120
Pelophylax_nigromaculatus,29,120
Pelophylax_nigromaculatus,29,120
Pelophylax_nigromaculatus,29,120
Pelophylax_nigromaculatus,29,120
Pelophylax_nigromaculatus,23.26561,116.05425
Pelophylax_nigromaculatus,23.26561,116.05425
Pelophylax_nigromaculatus,23.26561,116.05425
Pelophylax_nigromaculatus,23.26561,116.05425
Pelophylax_nigromaculatus,23.26561,116.05425
Pelophylax_nigromaculatus,23.26561,116.05425
Pelophylax_nigromaculatus,23.26561,116.05425
Pelophylax_nigromaculatus,23.26561,116.05425
Pelophylax_nigromaculatus,23.26561,116.05425
Pelophylax_nigromaculatus,23.26561,116.05425
Pelophylax_nigromaculatus,26.06139,119.30611
Pelophylax_nigromaculatus,26.06139,119.30611
Pelophylax_nigromaculatus,26.06139,119.30611
Pelophylax_nigromaculatus,26.06139,119.30611
Pelophylax_nigromaculatus,26.06139,119.30611
Pelophylax_nigromaculatus,26.06139,119.30611
Pelophylax_nigromaculatus,32.09142,120.24205
Pelophylax_nigromaculatus,32.09142,120.24205
Pelophylax_nigromaculatus,32.09142,120.24205
Pelophylax_nigromaculatus,32.09142,120.24205
Pelophylax_nigromaculatus,32.09142,120.24205
Pelophylax_nigromaculatus,30.5,102.5
Pelophylax_nigromaculatus,30.5,102.5
Andrias_davidianus,30.5,102.5
Andrias_davidianus,31.97191,104.29346
Andrias_davidianus,29.12944,110.47833
Andrias_davidianus,29.71139,118.3125
Andrias_davidianus,29.71139,118.3125
Andrias_davidianus,29.12944,110.47833
Andrias_davidianus,30.5,102.5
Andrias_davidianus,24.90531,111.29101
Andrias_davidianus,29.12944,110.47833
Andrias_davidianus,29.71139,118.3125
Andrias_davidianus,34.38228,109.47042
Andrias_davidianus,22.76943,113.62159
Andrias_davidianus,29.71139,118.3125
Andrias_davidianus,34.38228,109.47042
Andrias_davidianus,22.76943,113.62159
Andrias_davidianus,32.21459,106.26095
Plethodon_websteri,33.89955,-82.30988
Plethodon_websteri,33.89955,-82.30988
Bolitoglossa_mexicana,14.91667,-85.91667
Bolitoglossa_mexicana,21.73278,-98.18833
Bolitoglossa_mexicana,16.76231,-93.37476
Bolitoglossa_yucatana,20.48298,-87.73888
Bolitoglossa_platydactyla,18.87642,-97.02171
Bolitoglossa_striatula,9.90467,-83.68352
Bolitoglossa_flaviventris,15.11675,-92.30325
Bolitoglossa_adspersa,5.30933,-73.81575
Bolitoglossa_morio,14.93333,-91.81667
Bolitoglossa_engelhardti,14.96389,-91.79444
Bolitoglossa_dofleini,15.48333,-89.86667
Mantella_expectata,-19.73333,45.43333
Mantella_expectata,-19.73333,45.43333
Mantella_expectata,-19.73333,45.43333
Mantella_expectata,-19.73333,45.43333
Mantella_viridis,-12.36667,49.36667
Mantella_viridis,-12.36667,49.36667
Mantella_viridis,-12.36667,49.36667
Mantella_viridis,-12.36667,49.36667
Mantella_viridis,-12.36667,49.36667
Mantella_viridis,-12.36667,49.36667
Mantella_viridis,-12.36667,49.36667
Mantella_viridis,-12.36667,49.36667
Mantella_viridis,-12.36667,49.21667
Mantella_viridis,-12.36667,49.21667
Mantella_viridis,-12.36667,49.21667
Mantella_viridis,-12.36667,49.21667
Mantella_betsileo,-20.86667,43.93333
Mantella_betsileo,-20.86667,43.93333
Mantella_betsileo,-20.86667,43.93333
Mantella_betsileo,-20.86667,43.93333
Mantella_betsileo,-20.86667,43.93333
Mantella_betsileo,-20.86667,43.93333
Mantella_betsileo,-20.86667,43.93333
Mantella_betsileo,-20.86667,43.93333
Mantella_betsileo,-20.86667,43.93333
Mantella_betsileo,-20.86667,43.93333
Mantella_betsileo,-20.86667,43.93333
Mantella_betsileo,-20.86667,43.93333
Mantella_betsileo,-20.86667,43.93333
Mantella_betsileo,-19.6,46.05
Mantella_betsileo,-19.73333,45.43333
Mantella_betsileo,-19.73333,45.43333
Mantella_ebenaui,-16.83333,49.91667
Mantella_ebenaui,-16.83333,49.91667
Mantella_ebenaui,-16.83333,49.91667
Mantella_ebenaui,-16.83333,49.91667
Mantella_ebenaui,-16.83333,49.91667
Mantella_ebenaui,-16.83333,49.91667
Mantella_ebenaui,-16.83333,49.91667
Mantella_ebenaui,-17,44.66667
Mantella_ebenaui,-13.31421,48.25899
Mantella_ebenaui,-16.26667,45.36667
Mantella_ebenaui,-16.26667,45.36667
Mantella_laevigata,-15.5,49.76667
Eurycea_lucifuga,35.15496,-86.09218
Eurycea_lucifuga,35.15496,-86.09218
Eurycea_lucifuga,35.15496,-86.09218
Eurycea_lucifuga,35.15496,-86.09218
Eurycea_lucifuga,35.15496,-86.09218
Eurycea_lucifuga,35.15496,-86.09218
Eurycea_lucifuga,35.15496,-86.09218
Eurycea_lucifuga,35.15496,-86.09218
Eurycea_lucifuga,35.15496,-86.09218
Eurycea_lucifuga,35.15496,-86.09218
Bombina_variegata,45.8,24.15
Bombina_variegata,45.8,24.15
Bombina_variegata,45.8,24.15
Bombina_variegata,45.8,24.15
Bombina_variegata,45.08333,28.31667
Bombina_variegata,45.08333,28.31667
Bombina_variegata,45.08333,28.31667
Bombina_variegata,44.4,25.33333
Bombina_variegata,44.4,25.33333
Bombina_variegata,45.33798,24.78943
Bombina_variegata,45.33798,24.78943
Bombina_variegata,45.33798,24.78943
Bombina_variegata,44.47142,10.43985
Bombina_variegata,44.47142,10.43985
Bombina_variegata,44.47142,10.43985
Bombina_variegata,45.15,25.8
Bombina_variegata,45.16667,26
Bombina_variegata,44.47142,10.43985
Bombina_variegata,44.47142,10.43985
Bombina_variegata,44.47142,10.43985
Bombina_variegata,45.35,25.55
Bombina_variegata,45.35,25.55
Bombina_variegata,45.35,25.55
Bombina_variegata,45.35,25.55
Bombina_variegata,45.35,25.55
Bombina_variegata,45.5,25.56667
Bombina_variegata,45.5,25.56667
Bombina_variegata,45.5,25.56667
Bombina_variegata,47.14356,26.27652
Bombina_variegata,47.14356,26.27652
Bombina_variegata,45.3,23.26667
Bombina_variegata,45.3,23.26667
Bombina_variegata,45.3,23.26667
Bombina_variegata,44.80333,22.97194
Bombina_variegata,46.76667,23.6
Bombina_variegata,46.76667,23.6
Bombina_variegata,46.76667,23.6
Bombina_bombina,46.76667,23.6
Bombina_bombina,46.76667,23.6
Bombina_bombina,46.76667,23.6
Bombina_bombina,44.95,24.25
Bombina_bombina,44.95,24.25
Bombina_bombina,44.43225,26.10626
Bombina_bombina,44.43225,26.10626
Bombina_bombina,44.43225,26.10626
Bombina_bombina,44.43225,26.10626
Bombina_bombina,44.6996,28.51383
Bombina_bombina,44.25,27
Bombina_bombina,44.38333,27.83333
Bombina_bombina,49.26223,23.85609
Bombina_bombina,49.26223,23.85609
Bombina_bombina,49.26223,23.85609
Bombina_bombina,49.26223,23.85609
Bombina_bombina,49.26223,23.85609
Bombina_variegata,49.26223,23.85609
Bombina_variegata,49.26223,23.85609
Bombina_variegata,49.26223,23.85609
Bombina_variegata,49.26223,23.85609
Bombina_variegata,49.26223,23.85609
Bombina_variegata,49.26223,23.85609
Bombina_variegata,49.26223,23.85609
Bombina_variegata,49.26223,23.85609
Bombina_variegata,49.26223,23.85609
Bombina_variegata,49.26223,23.85609
Bombina_variegata,49.26223,23.85609
Bombina_variegata,49.26223,23.85609
Bombina_variegata,49.26223,23.85609
Bombina_variegata,49.26223,23.85609
Bombina_variegata,48.62436,23.35737
Bombina_variegata,48.62436,23.35737
Bombina_bombina,50.45466,30.5238
Bombina_bombina,50.45466,30.5238
Bombina_bombina,50.45466,30.5238
Bombina_bombina,50.45466,30.5238
Bombina_bombina,45.40214,29.58595
Bombina_bombina,45.40214,29.58595
Bombina_bombina,45.40214,29.58595
Bombina_bombina,45.04484,38.97603
Bombina_bombina,50.08283,19.84837
Bombina_bombina,50.08283,19.84837
Bombina_bombina,53.67892,18.84387
Bombina_variegata,50.01491,19.80953
Bombina_variegata,50.01491,19.80953
Bombina_bombina,50.01491,19.80953
Bombina_bombina,50.01491,19.80953
Bombina_bombina,50.06143,19.93658
Bombina_bombina,50.06143,19.93658
Bombina_variegata,49.95398,19.79668
Bombina_variegata,49.95398,19.79668
Bombina_variegata,49.80075,19.58765
Bombina_variegata,49.80075,19.58765
Bombina_bombina,49.9472,22.82375
Bombina_bombina,49.86354,22.88068
Bombina_bombina,49.86354,22.88068
Bombina_bombina,49.90486,22.92667
Bombina_bombina,49.90486,22.92667
Bombina_bombina,49.90486,22.92667
Bombina_bombina,53.14214,17.60181
Bombina_bombina,53.14214,17.60181
Bombina_variegata,50.85676,21.53277
Bombina_bombina,50.85676,21.53277
Bombina_bombina,50.85676,21.53277
Bombina_variegata,50.85676,21.53277
Bombina_variegata,50.85676,21.53277
Bombina_bombina,50.85676,21.53277
Bombina_bombina,49.75465,22.8816
Bombina_variegata,49.75465,22.8816
Bombina_variegata,49.75465,22.8816
Bombina_bombina,49.75465,22.8816
Bombina_bombina,50.17398,20.60477
Bombina_bombina,50.17398,20.60477
Bombina_variegata,50.17398,20.60477
Bombina_variegata,50.17398,20.60477
Bombina_bombina,49.80011,22.87391
Bombina_bombina,49.80011,22.87391
Bombina_variegata,49.84728,22.75543
Bombina_variegata,49.84728,22.75543
Bombina_bombina,49.84728,22.75543
Bombina_bombina,49.84728,22.75543
Bombina_variegata,49.85581,22.70171
Bombina_variegata,51.90079,14.86597
Bombina_variegata,51.90079,14.86597
Bombina_variegata,50.05565,19.19955
Bombina_variegata,50.05565,19.19955
Bombina_variegata,51.44227,19.56938
Bombina_variegata,51.44227,19.56938
Bombina_variegata,49.69173,22.47854
Bombina_variegata,49.82905,22.66934
Bombina_variegata,51.0656,23.12836
Bombina_variegata,51.0656,23.12836
Bombina_bombina,53.53056,15.80967
Bombina_bombina,53.53056,15.80967
Bombina_bombina,50.43324,21.2812
Bombina_bombina,50.43324,21.2812
Bombina_bombina,51.5277,17.27137
Bombina_bombina,50.30749,18.56398
Bombina_bombina,51.64007,15.06045
Bombina_bombina,51.64007,15.06045
Bombina_bombina,49.52327,21.07985
Bombina_bombina,49.52327,21.07985
Bombina_bombina,50.70188,19.94874
Bombina_bombina,50.70188,19.94874
Bombina_bombina,50.28232,18.19988
Bombina_bombina,50.45442,18.52209
Bombina_bombina,50.45442,18.52209
Bombina_bombina,50.45442,18.52209
Bombina_variegata,50.45442,18.52209
Bombina_bombina,54.06958,22.48299
Bombina_bombina,54.06958,22.48299
Bombina_variegata,50.32124,17.57461
Bombina_variegata,50.32124,17.57461
Bombina_variegata,50.32124,17.57461
Bombina_variegata,49.79326,18.90636
Bombina_variegata,49.52532,22.19925
Bombina_variegata,49.52532,22.19925
Bombina_variegata,49.48904,20.66631
Bombina_variegata,49.48904,20.66631
Bombina_variegata,49.88811,20.52263
Bombina_variegata,49.88811,20.52263
Bombina_variegata,49.88811,20.52263
Bombina_variegata,49.55879,21.34309
Bombina_variegata,49.51128,21.50042
Bombina_bombina,48.99387,22.01314
Bombina_bombina,48.99387,22.01314
Bombina_bombina,48.99387,22.01314
Bombina_bombina,48.55197,22.08036
Bombina_bombina,48.55197,22.08036
Bombina_bombina,48.55197,22.08036
Bombina_variegata,48.58762,21.37613
Bombina_variegata,48.58762,21.37613
Bombina_variegata,48.58762,21.37613
Bombina_variegata,49.23374,18.94576
Bombina_variegata,49.23374,18.94576
Bombina_variegata,49.23374,18.94576
Bombina_variegata,49.23374,18.94576
Bombina_variegata,48.84236,20.62032
Bombina_variegata,48.84236,20.62032
Bombina_variegata,48.84236,20.62032
Bombina_variegata,48.84236,20.62032
Bombina_variegata,49.414,20.71629
Bombina_variegata,48.71032,21.1518
Bombina_variegata,48.71032,21.1518
Bombina_variegata,48.71032,21.1518
Bombina_variegata,48.71032,21.1518
Bombina_variegata,48.72767,20.04822
Bombina_variegata,48.72767,20.04822
Bombina_variegata,49.3875,21.11971
Bombina_variegata,49.3875,21.11971
Bombina_variegata,48.57442,19.15324
Bombina_variegata,48.57442,19.15324
Bombina_variegata,48.57787,19.52574
Bombina_variegata,48.57787,19.52574
Bombina_variegata,48.8896,19.2865
Bombina_variegata,49.28349,19.4798
Bombina_variegata,48.98947,20.30903
Bombina_variegata,48.43855,20.27304
Bombina_variegata,48.43855,20.27304
Bombina_bombina,50.43077,15.19607
Bombina_bombina,50.08804,14.42076
Bombina_bombina,50.08804,14.42076
Bombina_bombina,49.0138,16.65431
Bombina_bombina,49.0138,16.65431
Bombina_bombina,49.19522,16.60796
Bombina_variegata,49.1,17.21667
Bombina_variegata,49.22287,17.85455
Bombina_variegata,49.35128,18.24006
Bombina_variegata,49.41299,17.81316
Bombina_variegata,49.41299,17.81316
Bombina_variegata,49.5351,18.39164
Bombina_variegata,49.5351,18.39164
Bombina_bombina,56.946,24.10589
Bombina_bombina,56.946,24.10589
Bombina_bombina,56.946,24.10589
Bombina_bombina,55.28952,10.85139
Bombina_bombina,55.28952,10.85139
Bombina_bombina,55.28952,10.85139
Bombina_bombina,55.28952,10.85139
Bombina_variegata,49.04406,22.51493
Bombina_variegata,43.05,23.4
Bombina_variegata,42.74917,22.78444
Bombina_variegata,42.74917,22.78444
Bombina_variegata,42.74917,22.78444
Bombina_variegata,42.1,25.78333
Bombina_variegata,42.1,25.78333
Bombina_variegata,42.1,25.78333
Bombina_variegata,42.1,25.78333
Bombina_variegata,42.63333,24.35
Bombina_variegata,42.63333,24.35
Bombina_variegata,41.95,24.86667
Bombina_variegata,41.95,24.86667
Bombina_variegata,41.95,24.86667
Bombina_variegata,41.56667,23.28333
Bombina_variegata,41.56667,23.28333
Bombina_variegata,45.67265,5.57816
Bombina_variegata,45.6249,5.6315
Bombina_variegata,45.67265,5.57816
Bombina_variegata,45.6249,5.6315
Bombina_variegata,50.9919,6.17917
Bombina_variegata,50.9919,6.17917
Bombina_variegata,50.9919,6.17917
Bombina_variegata,50.9919,6.17917
Bombina_variegata,48.20854,12.39893
Bombina_variegata,48.20854,12.39893
Bombina_variegata,48.20854,12.39893
Bombina_variegata,47.65689,9.47554
Bombina_bombina,51.26829,14.34588
Bombina_bombina,51.30044,14.65799
Bombina_bombina,51.30044,14.65799
Bombina_bombina,48.27885,16.90933
Bombina_bombina,48.27885,16.90933
Bombina_bombina,48.27885,16.90933
Bombina_variegata,48.13333,16.15
Bombina_variegata,48.13333,16.15
Bombina_variegata,48.13333,16.15
Bombina_bombina,46.17496,18.95639
Bombina_bombina,47.6921,19.97696
Bombina_bombina,47.6921,19.97696
Bombina_bombina,48.35,21.7
Bombina_bombina,48.35,21.7
Bombina_variegata,47.49204,8.90099
Bombina_variegata,47.49204,8.90099
Bombina_variegata,43.34333,17.80806
Bombina_variegata,44.8174,20.46341
Bombina_variegata,44.8174,20.46341
Bombina_variegata,44.8174,20.46341
Bombina_variegata,44.8174,20.46341
Bombina_variegata,44.8174,20.46341
Bombina_variegata,44.8174,20.46341
Bombina_variegata,44.8174,20.46341
Bombina_variegata,44.8174,20.46341
Bombina_variegata,44.8174,20.46341
Bombina_variegata,44.8174,20.46341
Bombina_variegata,44.8174,20.46341
Bombina_variegata,44.8174,20.46341
Bombina_variegata,44.8174,20.46341
Bombina_variegata,44.8174,20.46341
Bombina_variegata,44.8174,20.46341
Bombina_bombina,45.81444,15.97798
Bombina_bombina,45.81444,15.97798
Bombina_bombina,45.81444,15.97798
Bombina_variegata,45.81444,15.97798
Bombina_variegata,41.01697,20.81014
Bombina_variegata,41.11722,20.80194
Bombina_variegata,41.11722,20.80194
Bombina_variegata,45.4299,10.98444
Bombina_variegata,44.02135,10.28445
Bombina_variegata,43.87309,11.08278
Bombina_variegata,42.25,13.75
Bombina_variegata,42.25,13.75
Bombina_variegata,42.25,13.75
Bombina_variegata,40.08175,22.34954
Bombina_variegata,39.76944,21.18222
Bombina_variegata,39.76944,21.18222
Bombina_variegata,40.06533,20.61495
Bombina_variegata,40.06533,20.61495
Bombina_variegata,39.55528,21.7675
Bombina_variegata,39.55528,21.7675
Bombina_variegata,39.55528,21.7675
Bombina_variegata,39.55528,21.7675
Bombina_variegata,39.55528,21.7675
Bombina_variegata,39.55528,21.7675
Bombina_variegata,39.55528,21.7675
Bombina_variegata,39.55528,21.7675
Bombina_variegata,39.55528,21.7675
Bombina_bombina,40.78056,30.40333
Plethodon_albagula,35.58065,-92.5157
Plethodon_albagula,36.33872,-94.25619
Plethodon_albagula,34.57669,-93.15043
Plethodon_albagula,32.77156,-97.29124
Plethodon_albagula,31.25044,-99.25061
Plethodon_amplus,35.50069,-80.00032
Plethodon_amplus,35.50069,-80.00032
Plethodon_angusticlavius,35.91997,-93.21787
Plethodon_aureolus,35.75035,-86.25027
Plethodon_caddoensis,34.53879,-93.65953
Plethodon_caddoensis,34.48584,-94.22807
Plethodon_chattahoochee,33.58706,-84.54243
Plethodon_chlorobryonis,34.55394,-83.29343
Plethodon_cinereus,38.21586,-76.52906
Plethodon_cylindraceus,35.47095,-82.25872
