order_name,family_name,subfamily_name,genus_name,species_name,sp_suffix
Diptera,Chironomidae,Orthocladiinae,Corynoneura,Corynoneura arctica,arctica
Diptera,Chironomidae,Orthocladiinae,Limnophyes,Limnophyes brachytomus,brachytomus
Diptera,Chironomidae,Orthocladiinae,Chaetocladius,Chaetocladius perennis,perennis
Diptera,Chironomidae,Orthocladiinae,Limnophyes,Limnophyes asquamatus,asquamatus
Diptera,Chironomidae,Tanypodinae,Procladius,Procladius dentus,dentus
Diptera,Chironomidae,Orthocladiinae,Paraphaenocladius,Paraphaenocladius brevinervis,brevinervis
Diptera,Anthomyiidae,Pegomyinae,Eutrichota,Eutrichota tunicata,tunicata
Diptera,Chironomidae,Orthocladiinae,Tokunagaia,Tokunagaia obriaini,obriaini
Diptera,Chironomidae,Orthocladiinae,Paraphaenocladius,Paraphaenocladius impensus,impensus
Diptera,Muscidae,Coenosiinae,Spilogona,Spilogona zaitzevi,zaitzevi
Diptera,Chironomidae,Chironominae,Dicrotendipes,Dicrotendipes modestus,modestus
Diptera,Chironomidae,Orthocladiinae,Limnophyes,Limnophyes minimus,minimus
Diptera,Chironomidae,Orthocladiinae,Parakiefferiella,Parakiefferiella scandica,scandica
Diptera,Chironomidae,Orthocladiinae,Limnophyes,Limnophyes ninae,ninae
Diptera,Scathophagidae,Scathophaginae,Gimnomera,Gimnomera tibialis,tibialis
Diptera,Tipulidae,Tipulinae,Tipula,Tipula diflava,diflava
Diptera,Chironomidae,Orthocladiinae,Limnophyes,Limnophyes pumilio,pumilio
Diptera,Chironomidae,Orthocladiinae,Prosmittia,Prosmittia jemtlandica,jemtlandica
Diptera,Chironomidae,Tanypodinae,Procladius,Procladius crassinervis,crassinervis
Diptera,Mycetophilidae,Mycetophilinae,Exechia,Exechia frigida,frigida
Hymenoptera,Eulophidae,Tetrastichinae,Aprostocetus,Aprostocetus meltoftei,meltoftei
Hymenoptera,Ichneumonidae,Cryptinae,Atractodes,Atractodes aterrimus,aterrimus
Lepidoptera,Tortricidae,Olethreutinae,Apotomis,Apotomis capreana,capreana
Lepidoptera,Tortricidae,Olethreutinae,Gypsonoma,Gypsonoma parryana,parryana
Lepidoptera,Tortricidae,Olethreutinae,Olethreutes,Olethreutes mengelana,mengelana
Lepidoptera,Pterophoridae,Pterophorinae,Paraplatyptilia,Paraplatyptilia petrodactylus,petrodactylus
Lepidoptera,Plutellidae,Plutellinae,Plutella,Plutella hyperboreella,hyperboreella
Diptera,Chironomidae,Chironominae,Paratanytarsus,Paratanytarsus laccophilus,laccophilus
Diptera,Chironomidae,Orthocladiinae,Psectrocladius,Psectrocladius limbatellus,limbatellus
Diptera,Muscidae,Azeliinae,Drymeia,Drymeia pribilofensis,pribilofensis
Lepidoptera,Tortricidae,Olethreutinae,Grapholita,Grapholita aureolana,aureolana
Hymenoptera,Ichneumonidae,Cryptinae,Parmortha,Parmortha pleuralis,pleuralis
Diptera,Empididae,Empidinae,Rhamphomyia,Rhamphomyia nigrita,nigrita
Diptera,Anthomyiidae,Anthomyiinae,Zaphne,Zaphne barbiventris,barbiventris
Hymenoptera,Tenthredinidae,Nematinae,Hemichroa,Hemichroa crocea,crocea
Hymenoptera,Ichneumonidae,Pimplinae,Delomerista,Delomerista laevis,laevis
Diptera,Chironomidae,Orthocladiinae,Orthocladius,Orthocladius olivaceus,olivaceus
Diptera,Anthomyiidae,Anthomyiinae,Egle,Egle parvaeformis,parvaeformis
Diptera,Chironomidae,Orthocladiinae,Limnophyes,Limnophyes vrangelensis,vrangelensis
Diptera,Brachystomatidae,Trichopezinae,Heleodromia,Heleodromia pullata,pullata
Diptera,Empididae,Empidinae,Rhamphomyia,Rhamphomyia hoeli,hoeli
Diptera,Tipulidae,Tipulinae,Tipula,Tipula hewitti,hewitti
Diptera,Tipulidae,Tipulinae,Tipula,Tipula arctica,arctica
Diptera,Scathophagidae,Scathophaginae,Gonarcticus,Gonarcticus arcticus,arcticus
Diptera,Mycetophilidae,Mycetophilinae,Phronia,Phronia egregia,egregia
Diptera,Chironomidae,Tanypodinae,Procladius,Procladius cf. flavifrons,cf. flavifrons
Coleoptera,Carabidae,Harpalinae,Pterostichus,Pterostichus barryorum,barryorum
Hymenoptera,Ichneumonidae,Cryptinae,Atractodes,Atractodes alpestris,alpestris
Diptera,Syrphidae,Eristalinae,Helophilus,Helophilus lapponicus,lapponicus
Diptera,Phoridae,Metopininae,Megaselia,Megaselia diversa,diversa
Diptera,Chironomidae,Orthocladiinae,Cricotopus,Cricotopus tibialis,tibialis
Diptera,Chironomidae,Orthocladiinae,Cricotopus,Cricotopus obnixus,obnixus
Diptera,Chironomidae,Orthocladiinae,Metriocnemus,Metriocnemus brusti,brusti
Diptera,Chironomidae,Chironominae,Micropsectra,Micropsectra logani,logani
Diptera,Chironomidae,Chironominae,Tanytarsus,Tanytarsus heliomesonyctios,heliomesonyctios
Diptera,Chironomidae,Chironominae,Tanytarsus,Tanytarsus gracilentus,gracilentus
Diptera,Chironomidae,Orthocladiinae,Orthocladius,Orthocladius oblidens,oblidens
Diptera,Chironomidae,Orthocladiinae,Smittia,Smittia extrema,extrema
Diptera,Muscidae,Coenosiinae,Spilogona,Spilogona melanosoma,melanosoma
Diptera,Chironomidae,Orthocladiinae,Allocladius,Allocladius nanseni,nanseni
Diptera,Chironomidae,Podonominae,Trichotanypus,Trichotanypus posticalis,posticalis
Diptera,Chironomidae,Orthocladiinae,Cricotopus,Cricotopus triannulatus,triannulatus
Diptera,Chironomidae,Orthocladiinae,Diplocladius,Diplocladius cultriger,cultriger
Diptera,Chironomidae,Orthocladiinae,Hydrobaenus,Hydrobaenus fusistylus,fusistylus
Diptera,Muscidae,Coenosiinae,Spilogona,Spilogona denudata,denudata
Diptera,Muscidae,Coenosiinae,Spilogona,Spilogona tornensis,tornensis
Diptera,Chironomidae,Orthocladiinae,Corynoneura,Corynoneura scutellata,scutellata
Diptera,Chironomidae,Orthocladiinae,Orthocladius,Orthocladius roussellae,roussellae
Diptera,Chironomidae,Orthocladiinae,Metriocnemus,Metriocnemus ursinus,ursinus
Diptera,Chironomidae,Chironominae,Tanytarsus,Tanytarsus anderseni,anderseni
Diptera,Chironomidae,Orthocladiinae,Smittia,Smittia edwardsi,edwardsi
Diptera,Chironomidae,Orthocladiinae,Oliveridia,Oliveridia tricornis,tricornis
Diptera,Phoridae,Metopininae,Megaselia,Megaselia cirriventris,cirriventris
Diptera,Chironomidae,Tanypodinae,Procladius,Procladius cf. crassinervis,cf. crassinervis
Diptera,Chironomidae,Orthocladiinae,Heterotrissocladius,Heterotrissocladius oliveri,oliveri
Lepidoptera,Plutellidae,Plutellinae,Plutella,Plutella xylostella,xylostella
Lepidoptera,Nymphalidae,Heliconiinae,Boloria,Boloria chariclea,chariclea
Lepidoptera,Nymphalidae,Heliconiinae,Boloria,Boloria polaris,polaris
Lepidoptera,Pieridae,Coliadinae,Colias,Colias hecla,hecla
Diptera,Culicidae,Culicinae,Aedes,Aedes nigripes,nigripes
Diptera,Culicidae,Culicinae,Aedes,Aedes impiger,impiger
Lepidoptera,Pyralidae,Phycitinae,Pyla,Pyla fusca,fusca
Lepidoptera,Noctuidae,Noctuinae,Apamea,Apamea zeta,zeta
Lepidoptera,Noctuidae,Oncocnemidinae,Sympistis,Sympistis zetterstedtii,zetterstedtii
Lepidoptera,Noctuidae,Noctuinae,Polia,Polia richardsoni,richardsoni
Diptera,Calliphoridae,Calliphorinae,Cynomya,Cynomya cadaverina,cadaverina
Diptera,Calliphoridae,Calliphorinae,Cynomya,Cynomya mortuorum,mortuorum
Diptera,Chironomidae,Diamesinae,Diamesa,Diamesa aberrata,aberrata
Diptera,Chironomidae,Diamesinae,Diamesa,Diamesa incallida,incallida
Diptera,Syrphidae,Eristalinae,Helophilus,Helophilus groenlandicus,groenlandicus
Diptera,Syrphidae,Syrphinae,Eupeodes,Eupeodes rufipunctatus,rufipunctatus
Diptera,Syrphidae,Syrphinae,Eupeodes,Eupeodes punctifer,punctifer
Lepidoptera,Tortricidae,Olethreutinae,Olethreutes,Olethreutes inquietana,inquietana
Lepidoptera,Tortricidae,Olethreutinae,Argyroploce,Argyroploce aquilonana,aquilonana
Diptera,Chironomidae,Chironominae,Chironomus,Chironomus cf. saxatilis,cf. saxatilis
Diptera,Chironomidae,Chironominae,Chironomus,Chironomus hyperboreus,hyperboreus
Diptera,Syrphidae,Syrphinae,Parasyrphus,Parasyrphus tarsatus,tarsatus
Diptera,Muscidae,Coenosiinae,Limnophora,Limnophora groenlandica,groenlandica
Diptera,Tipulidae,Tipulinae,Nephrotoma,Nephrotoma lundbecki,lundbecki
Lepidoptera,Geometridae,Larentiinae,Entephria,Entephria kidluitata,kidluitata
Diptera,Calliphoridae,Chrysomyinae,Protophormia,Protophormia terraenovae,terraenovae
Diptera,Scathophagidae,Scathophaginae,Scathophaga,Scathophaga furcata,furcata
Hymenoptera,Ichneumonidae,Diplazontinae,Diplazon,Diplazon hyperboreus,hyperboreus
Diptera,Chironomidae,Orthocladiinae,Orthocladius,Orthocladius subletteorum,subletteorum
Diptera,Chironomidae,Orthocladiinae,Psectrocladius,Psectrocladius barbimanus,barbimanus
Diptera,Chironomidae,Orthocladiinae,Psectrocladius,Psectrocladius sokolovae,sokolovae
Hymenoptera,Ichneumonidae,Ichneumoninae,Ichneumon,Ichneumon discoensis,discoensis
Diptera,Chironomidae,Diamesinae,Diamesa,Diamesa arctica,arctica
Lepidoptera,Noctuidae,Plusiinae,Syngrapha,Syngrapha parilis,parilis
Diptera,Muscidae,Azeliinae,Drymeia,Drymeia segnis,segnis
Hymenoptera,Ichneumonidae,Ichneumoninae,Aoplus,Aoplus groenlandicus,groenlandicus
Diptera,Chironomidae,Orthocladiinae,Orthocladius,Orthocladius decoratus,decoratus
Lepidoptera,Erebidae,Lymantriinae,Gynaephora,Gynaephora groenlandica,groenlandica
Hymenoptera,Braconidae,Aphidiinae,Praon,Praon volucre,volucre
Diptera,Limoniidae,Chioneinae,Symplecta,Symplecta scotica,scotica
Thysanoptera,Thripidae,Thripinae,Thrips,Thrips vulgatissimus,vulgatissimus
Diptera,Chironomidae,Orthocladiinae,Hydrosmittia,Hydrosmittia oxoniana,oxoniana
Diptera,Muscidae,Coenosiinae,Spilogona,Spilogona micans,micans
Diptera,Anthomyiidae,Anthomyiinae,Zaphne,Zaphne frontata,frontata
Diptera,Anthomyiidae,Anthomyiinae,Zaphne,Zaphne tundrica,tundrica
Diptera,Anthomyiidae,Anthomyiinae,Fucellia,Fucellia ariciiformis,ariciiformis
Diptera,Anthomyiidae,Anthomyiinae,Fucellia,Fucellia nr. ariciiformis,nr. ariciiformis
Diptera,Anthomyiidae,Anthomyiinae,Zaphne,Zaphne divisa,divisa
Diptera,Anthomyiidae,Pegomyinae,Pegomya,Pegomya icterica,icterica
Diptera,Mycetophilidae,Sciophilinae,Sciophila,Sciophila hirta,hirta
Diptera,Chironomidae,Tanypodinae,Procladius,Procladius paragretis,paragretis
Hymenoptera,Ichneumonidae,Orthocentrinae,Stenomacrus,Stenomacrus micropennis,micropennis
Hymenoptera,Ichneumonidae,Pimplinae,Pimpla,Pimpla sodalis,sodalis
Hymenoptera,Ichneumonidae,Campopleginae,Campoletis,Campoletis horstmanni,horstmanni
Hymenoptera,Ichneumonidae,Cremastinae,Cremastus,Cremastus tenebrosus,tenebrosus
Hymenoptera,Ichneumonidae,Ichneumoninae,Coelichneumonops,Coelichneumonops occidentalis,occidentalis
Hymenoptera,Ichneumonidae,Diplazontinae,Syrphoctonus,Syrphoctonus nigritarsus,nigritarsus
Hymenoptera,Ichneumonidae,Cryptinae,Gelis,Gelis maesticolor,maesticolor
Hymenoptera,Ichneumonidae,Cryptinae,Bathythrix,Bathythrix longiceps,longiceps
Hymenoptera,Ichneumonidae,Cryptinae,Cryptus,Cryptus leechi,leechi
Coleoptera,Coccinellidae,Coccinellinae,Coccinella,Coccinella transversoguttata,transversoguttata
Hymenoptera,Braconidae,Aphidiinae,Praon,Praon brevistigma,brevistigma
Diptera,Muscidae,Phaoniinae,Lophosceles,Lophosceles minimus,minimus
Diptera,Chironomidae,Orthocladiinae,Orthocladius,Orthocladius gelidorum,gelidorum
Diptera,Chironomidae,Orthocladiinae,Cricotopus,Cricotopus cf. tibialis,cf. tibialis
Hymenoptera,Ichneumonidae,Cryptinae,Buathra,Buathra laborator,laborator
Hymenoptera,Ichneumonidae,Campopleginae,Diadegma,Diadegma majale,majale
Diptera,Chironomidae,Orthocladiinae,Metriocnemus,Metriocnemus eurynotus,eurynotus
Diptera,Syrphidae,Syrphinae,Platycheirus,Platycheirus lundbecki,lundbecki
Diptera,Chironomidae,Diamesinae,Diamesa,Diamesa geminata,geminata
Diptera,Chironomidae,Orthocladiinae,Cricotopus,Cricotopus patens,patens
Diptera,Muscidae,Coenosiinae,Spilogona,Spilogona malaisei,malaisei
Diptera,Chironomidae,Orthocladiinae,Cricotopus,Cricotopus nr. tristis,nr. tristis
Diptera,Chironomidae,Diamesinae,Diamesa,Diamesa simplex,simplex
Diptera,Muscidae,Azeliinae,Drymeia,Drymeia groenlandica,groenlandica
Diptera,Chironomidae,Orthocladiinae,Chaetocladius,Chaetocladius holmgreni,holmgreni
Diptera,Chironomidae,Diamesinae,Diamesa,Diamesa chorea,chorea
Diptera,Chironomidae,Diamesinae,Diamesa,Diamesa bertrami,bertrami
Diptera,Chironomidae,Orthocladiinae,Smittia,Smittia cf. extrema,cf. extrema
Diptera,Chironomidae,Orthocladiinae,Limnophyes,Limnophyes anderseni,anderseni
Diptera,Mycetophilidae,Mycetophilinae,Brevicornu,Brevicornu fuscipenne,fuscipenne
Diptera,Muscidae,Coenosiinae,Spilogona,Spilogona almqvistii,almqvistii
Diptera,Muscidae,Coenosiinae,Spilogona,Spilogona megastoma,megastoma
Diptera,Muscidae,Coenosiinae,Spilogona,Spilogona sanctipauli,sanctipauli
Diptera,Muscidae,Coenosiinae,Spilogona,Spilogona novaesibiriae,novaesibiriae
Diptera,Muscidae,Coenosiinae,Spilogona,Spilogona deflorata,deflorata
Hymenoptera,Ichneumonidae,Cryptinae,Acrolyta,Acrolyta glacialis,glacialis
Diptera,Mycetophilidae,Mycetophilinae,Exechia,Exechia micans,micans
Diptera,Anthomyiidae,Pegomyinae,Paradelia,Paradelia arctica,arctica
Diptera,Chironomidae,Orthocladiinae,Rheocricotopus,Rheocricotopus chapmani,chapmani
Diptera,Muscidae,Coenosiinae,Spilogona,Spilogona tundrae,tundrae
Diptera,Muscidae,Coenosiinae,Spilogona,Spilogona dorsata,dorsata
Hymenoptera,Ichneumonidae,Campopleginae,Hyposoter,Hyposoter frigidus,frigidus
Diptera,Scathophagidae,Scathophaginae,Scathophaga,Scathophaga apicalis,apicalis
Diptera,Anthomyiidae,Anthomyiinae,Fucellia,Fucellia pictipennis,pictipennis
Diptera,Chironomidae,Orthocladiinae,Orthocladius,Orthocladius priomixtus,priomixtus
Diptera,Chironomidae,Orthocladiinae,Orthocladius,Orthocladius gelidus,gelidus
Diptera,Calliphoridae,Chrysomyinae,Protophormia,Protophormia atriceps,atriceps
Diptera,Empididae,Empidinae,Rhamphomyia,Rhamphomyia filicauda,filicauda
Diptera,Anthomyiidae,Anthomyiinae,Delia,Delia echinata,echinata
Diptera,Agromyzidae,Phytomyzinae,Phytomyza,Phytomyza erigerontophaga,erigerontophaga
Diptera,Muscidae,Phaoniinae,Phaonia,Phaonia bidentata,bidentata
Hymenoptera,Ichneumonidae,Cryptinae,Cryptus,Cryptus arcticus,arcticus
Diptera,Syrphidae,Syrphinae,Platycheirus,Platycheirus groenlandicus,groenlandicus
Diptera,Tachinidae,Tachininae,Peleteria,Peleteria aenea,aenea
Diptera,Piophilidae,Piophilinae,Lasiopiophila,Lasiopiophila pilosa,pilosa
Hymenoptera,Ichneumonidae,Campopleginae,Hyposoter,Hyposoter deichmanni,deichmanni
Diptera,Tachinidae,Dexiinae,Periscepsia,Periscepsia stylata,stylata
Hymenoptera,Pteromalidae,Pteromalinae,Pachyneuron,Pachyneuron groenlandicum,groenlandicum
Diptera,Agromyzidae,Phytomyzinae,Phytomyza,Phytomyza aquilonia,aquilonia
Diptera,Chironomidae,Orthocladiinae,Tokunagaia,Tokunagaia rectangularis,rectangularis
Diptera,Syrphidae,Syrphinae,Platycheirus,Platycheirus carinatus,carinatus
Hymenoptera,Braconidae,Microgastrinae,Microplitis,Microplitis lugubris,lugubris
Hymenoptera,Ichneumonidae,Metopiinae,Exochus,Exochus pullatus,pullatus
Diptera,Anthomyiidae,Anthomyiinae,Zaphne,Zaphne occidentalis,occidentalis
Diptera,Muscidae,Coenosiinae,Spilogona,Spilogona monacantha,monacantha
Diptera,Calliphoridae,Chrysomyinae,Protocalliphora,Protocalliphora tundrae,tundrae
Diptera,Chironomidae,Orthocladiinae,Orthocladius,Orthocladius frigidus,frigidus
Diptera,Chironomidae,Orthocladiinae,Tokunagaia,Tokunagaia cf. scutellata,cf. scutellata
Diptera,Agromyzidae,Phytomyzinae,Chromatomyia,Chromatomyia puccinelliae,puccinelliae
Diptera,Chironomidae,Orthocladiinae,Thienemanniella,Thienemanniella obscura,obscura
Hemiptera,Lygaeidae,Orsillinae,Nysius,Nysius groenlandicus,groenlandicus
Hymenoptera,Braconidae,Hormiinae,Hormius,Hormius moniliatus,moniliatus
Lepidoptera,Crambidae,Spilomelinae,Udea,Udea torvalis,torvalis
Lepidoptera,Noctuidae,Noctuinae,Euxoa,Euxoa adumbrata,adumbrata
Diptera,Anthomyiidae,Anthomyiinae,Egle,Egle groenlandica,groenlandica
Diptera,Tachinidae,Exoristinae,Exorista,Exorista thula,thula
Diptera,Mycetophilidae,Sciophilinae,Sciophila,Sciophila exserta,exserta
Diptera,Ceratopogonidae,Ceratopogoninae,Ceratopogon,Ceratopogon abstrusus,abstrusus
Diptera,Cecidomyiidae,Lestreminae,Neurolyga,Neurolyga ovata,ovata
Diptera,Scathophagidae,Scathophaginae,Scathophaga,Scathophaga nigripalpis,nigripalpis
Diptera,Phoridae,Metopininae,Megaselia,Megaselia arcticae,arcticae
Hymenoptera,Braconidae,Microgastrinae,Glyptapanteles,Glyptapanteles fulvipes,fulvipes
Hymenoptera,Braconidae,Microgastrinae,Protapanteles,Protapanteles fulvipes,fulvipes
Diptera,Chironomidae,Orthocladiinae,Orthocladius,Orthocladius rivicola,rivicola
Diptera,Chironomidae,Chironominae,Paratanytarsus,Paratanytarsus austriacus,austriacus
Diptera,Chironomidae,Orthocladiinae,Orthocladius,Orthocladius consobrinus,consobrinus
Diptera,Chironomidae,Diamesinae,Diamesa,Diamesa bohemani,bohemani
Diptera,Chironomidae,Orthocladiinae,Hydrobaenus,Hydrobaenus conformis,conformis
Diptera,Chironomidae,Orthocladiinae,Smittia,Smittia longicosta,longicosta
Diptera,Scathophagidae,Scathophaginae,Scathophaga,Scathophaga litorea,litorea
Diptera,Sphaeroceridae,Copromyzinae,Norrbomia,Norrbomia fumipennis,fumipennis
Diptera,Mycetophilidae,Mycetophilinae,Rymosia,Rymosia lacki,lacki
Diptera,Chironomidae,Orthocladiinae,Orthocladius,Orthocladius telochaetus,telochaetus
Diptera,Chironomidae,Orthocladiinae,Cricotopus,Cricotopus glacialis,glacialis
Diptera,Chironomidae,Chironominae,Micropsectra,Micropsectra radialis,radialis
Diptera,Chironomidae,Orthocladiinae,Orthocladius,Orthocladius nitidoscutellatus,nitidoscutellatus
Diptera,Chironomidae,Orthocladiinae,Psectrocladius,Psectrocladius oxyura,oxyura
Diptera,Chironomidae,Chironominae,Micropsectra,Micropsectra insignilobus,insignilobus
Diptera,Chironomidae,Orthocladiinae,Chaetocladius,Chaetocladius incertus,incertus
Diptera,Chironomidae,Orthocladiinae,Tvetenia,Tvetenia bavarica,bavarica
Diptera,Chironomidae,Orthocladiinae,Smittia,Smittia brevipennis,brevipennis
Hymenoptera,Figitidae,Charipinae,Alloxysta,Alloxysta proxima,proxima
Diptera,Mycetophilidae,Mycetophilinae,Rymosia,Rymosia placida,placida
Diptera,Chironomidae,Orthocladiinae,Orthocladius,Orthocladius cf. wiensi,cf. wiensi
Trichoptera,Apataniidae,Apataniinae,Apatania,Apatania forsslundi,forsslundi
Trichoptera,Apataniidae,Apataniinae,Apatania,Apatania zonella,zonella
Diptera,Chironomidae,Diamesinae,Diamesa,Diamesa hyperborea,hyperborea
Diptera,Chironomidae,Tanypodinae,Arctopelopia,Arctopelopia melanosoma,melanosoma
Diptera,Chironomidae,Orthocladiinae,Cricotopus,Cricotopus pilosellus,pilosellus
Lepidoptera,Pieridae,Coliadinae,Colias,Colias tyche,tyche
Lepidoptera,Pieridae,Coliadinae,Colias,Colias gigantea,gigantea
Lepidoptera,Pieridae,Coliadinae,Colias,Colias palaeno,palaeno
Diptera,Culicidae,Culicinae,Aedes,Aedes punctor,punctor
Diptera,Culicidae,Culicinae,Aedes,Aedes ventrovittis,ventrovittis
Diptera,Culicidae,Culicinae,Aedes,Aedes intrudens,intrudens
Diptera,Culicidae,Culicinae,Ochlerotatus,Ochlerotatus abserratus,abserratus
Diptera,Culicidae,Culicinae,Ochlerotatus,Ochlerotatus punctor,punctor
Diptera,Culicidae,Culicinae,Ochlerotatus,Ochlerotatus nigripes,nigripes
Diptera,Culicidae,Culicinae,Ochlerotatus,Ochlerotatus fitchii,fitchii
Diptera,Culicidae,Culicinae,Aedes,Aedes sticticus,sticticus
Diptera,Culicidae,Culicinae,Ochlerotatus,Ochlerotatus sticticus,sticticus
Diptera,Culicidae,Culicinae,Ochlerotatus,Ochlerotatus communis,communis
Diptera,Tipulidae,Tipulinae,Tipula,Tipula bergrothiana,bergrothiana
Diptera,Syrphidae,Syrphinae,Melanostoma,Melanostoma mellinum,mellinum
Hymenoptera,Apidae,Apinae,Bombus,Bombus kirbiellus,kirbiellus
Diptera,Syrphidae,Syrphinae,Platycheirus,Platycheirus naso,naso
Coleoptera,Carabidae,Harpalinae,Pterostichus,Pterostichus ventricosus,ventricosus
Coleoptera,Carabidae,Harpalinae,Pterostichus,Pterostichus planus,planus
Lepidoptera,Nymphalidae,Satyrinae,Oeneis,Oeneis alpina,alpina
Diptera,Muscidae,Phaoniinae,Phaonia,Phaonia consobrina,consobrina
Diptera,Muscidae,Phaoniinae,Phaonia,Phaonia alpicola,alpicola
Diptera,Muscidae,Phaoniinae,Phaonia,Phaonia lugubris,lugubris
Diptera,Anthomyiidae,Pegomyinae,Eutrichota,Eutrichota pilimana,pilimana
Coleoptera,Carabidae,Carabinae,Carabus,Carabus chamissonis,chamissonis
Coleoptera,Carabidae,Carabinae,Carabus,Carabus truncaticollis,truncaticollis
Coleoptera,Carabidae,Harpalinae,Agonum,Agonum quinquepunctatum,quinquepunctatum
Coleoptera,Carabidae,Harpalinae,Amara,Amara alpina,alpina
Hymenoptera,Formicidae,Formicinae,Formica,Formica fusca complex,fusca complex
Lepidoptera,Tortricidae,Tortricinae,Clepsis,Clepsis persicana,persicana
Lepidoptera,Gelechiidae,Gelechiinae,Chionodes,Chionodes sattleri,sattleri
Hymenoptera,Apidae,Apinae,Bombus,Bombus sylvicola,sylvicola
Lepidoptera,Tortricidae,Olethreutinae,Gypsonoma,Gypsonoma salicicolana,salicicolana
Lepidoptera,Tortricidae,Olethreutinae,Gypsonoma,Gypsonoma nebulosana,nebulosana
Diptera,Tipulidae,Tipulinae,Nephrotoma,Nephrotoma altissima,altissima
Diptera,Syrphidae,Eristalinae,Volucella,Volucella bombylans,bombylans
Hymenoptera,Colletidae,Hylaeinae,Hylaeus,Hylaeus annulatus,annulatus
Diptera,Muscidae,Coenosiinae,Limnophora,Limnophora rotundata,rotundata
Hymenoptera,Megachilidae,Megachilinae,Megachile,Megachile giliae,giliae
Diptera,Muscidae,Coenosiinae,Spilogona,Spilogona griseola,griseola
Coleoptera,Carabidae,Harpalinae,Pterostichus,Pterostichus brevicornis,brevicornis
Diptera,Muscidae,Phaoniinae,Phaonia,Phaonia savonoskii,savonoskii
Diptera,Muscidae,Phaoniinae,Helina,Helina evecta,evecta
Diptera,Simuliidae,Simuliinae,Helodon,Helodon decemarticulatus,decemarticulatus
Diptera,Muscidae,Phaoniinae,Helina,Helina flavisquama,flavisquama
Diptera,Muscidae,Phaoniinae,Helina,Helina fulvisquama,fulvisquama
Diptera,Muscidae,Coenosiinae,Coenosia,Coenosia verralli,verralli
Lepidoptera,Gracillariidae,Gracillariinae,Micrurapteryx,Micrurapteryx occulta,occulta
Diptera,Muscidae,Coenosiinae,Spilogona,Spilogona sororcula,sororcula
Diptera,Chironomidae,Orthocladiinae,Smittia,Smittia aterrima,aterrima
Lepidoptera,Tortricidae,Olethreutinae,Epinotia,Epinotia crenana,crenana
Hymenoptera,Megachilidae,Megachilinae,Hoplitis,Hoplitis robusta,robusta
Hymenoptera,Andrenidae,Andreninae,Andrena,Andrena fucata,fucata
Lepidoptera,Gracillariidae,Lithocolletinae,Phyllonorycter,Phyllonorycter anderidae,anderidae
Diptera,Hybotidae,Hybotinae,Bicellaria,Bicellaria furcifer,furcifer
Diptera,Empididae,Empidinae,Rhamphomyia,Rhamphomyia debilis grp.,debilis grp.
Diptera,Hybotidae,Hybotinae,Bicellaria,Bicellaria bisetosa,bisetosa
Diptera,Hybotidae,Tachydromiinae,Platypalpus,Platypalpus nr. hyaenoides,nr. hyaenoides
Diptera,Pipunculidae,Chalarinae,Chalarus,Chalarus decorus,decorus
Diptera,Muscidae,Azeliinae,Hydrotaea,Hydrotaea scambus,scambus
Diptera,Tachinidae,Exoristinae,Phebellia,Phebellia trichiosomae,trichiosomae
Diptera,Anthomyiidae,Anthomyiinae,Lasiomma,Lasiomma cuneicorne,cuneicorne
Diptera,Phoridae,Metopininae,Megaselia,Megaselia eccoptomera,eccoptomera
Diptera,Phoridae,Metopininae,Megaselia,Megaselia rufipes,rufipes
Diptera,Phoridae,Metopininae,Megaselia,Megaselia tecticauda,tecticauda
Diptera,Phoridae,Metopininae,Megaselia,Megaselia brejchaorum,brejchaorum
Diptera,Phoridae,Metopininae,Megaselia,Megaselia lucifrons,lucifrons
Diptera,Mycetophilidae,Mycetophilinae,Mycetophila,Mycetophila perpallida,perpallida
Diptera,Mycetophilidae,Mycomyinae,Mycomya,Mycomya nitida,nitida
Lepidoptera,Gelechiidae,Gelechiinae,Filatima,Filatima obscuroocelella,obscuroocelella
Diptera,Muscidae,Coenosiinae,Coenosia,Coenosia pumila,pumila
Diptera,Drosophilidae,Drosophilinae,Chymomyza,Chymomyza caudatula,caudatula
Diptera,Dolichopodidae,Dolichopodinae,Dolichopus,Dolichopus nigrilineatus,nigrilineatus
Coleoptera,Ptinidae,Dorcatominae,Caenocara,Caenocara scymnoides,scymnoides
Coleoptera,Cantharidae,Cantharinae,Rhagonycha,Rhagonycha mandibularis,mandibularis
Diptera,Asilidae,Dasypogoninae,Lasiopogon,Lasiopogon canus,canus
Lepidoptera,Gracillariidae,Lithocolletinae,Phyllonorycter,Phyllonorycter rolandi,rolandi
Diptera,Fanniidae,Fanniinae,Fannia,Fannia scyphocerca,scyphocerca
Diptera,Fanniidae,Fanniinae,Fannia,Fannia nr. ungulata,nr. ungulata
Diptera,Fanniidae,Fanniinae,Fannia,Fannia ungulata,ungulata
Diptera,Muscidae,Coenosiinae,Coenosia,Coenosia atritibia,atritibia
Diptera,Empididae,Empidinae,Rhamphomyia,Rhamphomyia clavigera grp.,clavigera grp.
Diptera,Phoridae,Metopininae,Megaselia,Megaselia giraudii,giraudii
Diptera,Phoridae,Metopininae,Megaselia,Megaselia subpalpalis,subpalpalis
Diptera,Mycetophilidae,Mycetophilinae,Exechia,Exechia similis,similis
Hymenoptera,Megachilidae,Megachilinae,Osmia,Osmia maritima,maritima
